요리명,조리방법,조리분류,열량,탄수화물,단백질,지방,나트륨,재료
롤피자,굽기,후식,374,63.8,13.9,5,524,"밀가루중력분 80g, 이스트 2g, 따뜻한물 20g, 소금 1g, 올리브오일 1g, 청피망 10g, 홍피망 10g, 베이컨 5g, 양파 10g, 양송이 5g, 토마토소스 5g, 모짜렐라 치즈 12g, 바질 1g, 오레가노 1g, 파마산치즈 2g"
닭곰탕,끓이기,국&찌개,46.5,2.5,7.6,0.7,63.5,"닭 정육 90g, 대파 10g, 무 70g, 양파 20g, 홍고추 5g, 마늘 3g, 청양고추 5g,
 닭뼈 200g, 다시마 3g, 대파 5g, 마늘 2g, 물 600g,
 후추 5g"
미나리버섯고기말이&산채소스,굽기,반찬,287.6,8.7,31.6,14.1,83.6,"돈등심 80g, 새송이버섯 24g, 미나리 18g, 후추 0.3g, 찹쌀가루 15g, 참나물 5g, 취나물 5g, 올리브오일 10g, 땅콩 2g, 파마산치즈 1g, 마늘 1g"
오이파프리카새콤무침,기타,반찬,11.45,2.59,0.18,0.04,1.05,"오이 10g, 파프리카 각 5g, 식초 2g, 설탕 2g"
양상추샐러드 & 과일드레싱,기타,반찬,57.4,9.9,1.9,1.1,33.8,"양상추 60g, 당근 10g, 적양배추 10g, 치커리 5g,
 사과 20g, 파인애플 15g, 레몬즙 1g"
시금치들깨무침,기타,반찬,159.24,12.03,10.05,7.88,32.68,"시금치 70g, 파 5g, 마늘 5g, 들깨가루 15g, 통깨 5g, 들기름 5g, 소금 5g"
채소롤초밥,기타,밥,384.1,77.2,7.5,5.1,267.4,"가지 오이 밥 400g, 소금 다시마가루 매실식초 참기름 참깨"
미니 떡갈비,굽기,반찬,145,13.5,15,3.9,308,"쇠고기샄코기 80g, 새송이버섯 40g, 밀가루 4g, 잣가루 1g,<br /> [떡갈비 양념] 간장 5g, 배즙 5g, 양파즙 5g, 꿀 4g, 다진 파 5g, 다진 마늘 3g, 깨소금 1g, 참기름 1g, 후춧가루 1g"
배추 달걀볶음,기타,반찬,1311,7.3,8.3,7.5,188,"배추 50g, 달걀 30g, 돼지고기 20g, 파 3g, 생강다진것 2g, 간장 2g, 목이버섯 10g, 닭육수 10g, 물전분 10g, 식용유 3g, 소금적당량"
사과와 양파를 곁들인 돼지등심 요리,굽기,반찬,294,6,17.9,21,36,"돼지등심 100g, 오레가노마른것 1g, 바질마른것 1g, 올리브오일 1g, 양파 15g, 사과 20g, 소금적당량 통후추부순것 2g"
새우 속을 채운 리치와 감자튀김,튀기기,반찬,258,24.5,14.7,11.5,196,"새우 60g, 달걀흰자 10g, 실파 5g, 물밤다진것 15g, 소금적당량 후추적당량 리치캔 35g, 감자 30g, 전분 3g, 튀김기름 10g, [소스] 올ㄹ브오일 1g, 다진 양파 3g, 다진생강 1g, 다진마늘 1g, 고추기름 0.5g, 식초 3g, 설탕 1.5g, 소금적당량 후추적당량 전분 1g, 다진 레몬껍질 5g"
생선살 완자 찹쌀 찜,찌기,반찬,213,30,20.1,0.7,263,"찹쌀 30g, 치자 5g, 시금치 10g, 당근 10g, 흰살생선 100g, [흰 살생선 양념] 달걀흰자 15g, 생강즙 2g, 소금적당량 흰후춧가루 적당량 전분 3g"
서양식 씨리얼(뮤즐리),기타,일품,159,25.8,5.2,4.8,27,"오트밀 15g, 꿀 5g, 플레인 요거트 18g, 아몬드 5g, 사과 8g, 건포도 4g, 우유 30g, 계피가루적당량 바나나 10g, 키위 10g"
수퍼 브리또,볶기,반찬,253,40.5,9.4,6.4,110,"양파 10g, 할라피뇨 3g, 쇠고기갈은것 10g, 토마토콩카세 10g, 양상추 10g, 올리브오일 1g, 또띠아8인치 30g, 아보카도 6g, 사워크림 3g, 소금적당량 후춧가루 적당량[강낭콩 퓨레]강낭콩 40g, 베이컨 2g, 마늘 1g, 양파 10g, 바질마른것 5g, [살사] 배 3g, 오렌지 3g, 레몬주스 2g, 파프리카 가루 1g"
아보카도 달걀 샌드위치,굽기,일품,153,20.3,5.9,4.9,272,"달걀 20g, 마요네즈 1g, 디존 머스타드 1g, 레몬주스 2g, 식빵 35g, 아보카도 6g, 워터크레스 1g, 소금 5g, 후추 5g"
알록달록 시금치 당근 수제비,끓이기,반찬,236,42.3,9.7,2.1,484,"시금치 10g, 당근 15g, 밀가루 50g, 물 10g, 감자 10g, 애호박 15g, 실파 5g, 멸치육수 200g, 다진 마늘 2g, 간장 2g, 소금 1g"
인도식만두구이(사모사),굽기,일품,156,19.9,7.8,4.8,213,"양파다진것 15g, 마늘다진것 2g, 생강다진것 1g, 청고추다진것 1g, 새우다진것 25g, 버터 1g, 레몬주수 1g, 생선육수 3g, 카레가루 2g, 토마토페이스트 3g, 달걀물 5g, 춘권피 20g, 올리브오일 1g"
중국식 바비큐 폭립,굽기,반찬,311,13.5,22.8,18,352,"돼지갈비 120g, [소스] 양파작게자른것 20g, 마늘다진것 4g, 식용유 1g, 레드와인식초 2g, 황설탕 2g, 꿀 5g, 데미글라스 10g, 토마토케첩 2g, 머스타드 2g, 우스터소스 2g, 케이엔페퍼5g, 소금적당량 후추적당량"
"제주도 빙떡, 귤간장소스",기타,반찬,94.02,20,1.33,0.97,9.56,"메밀가루 50g, 무 30g, 후추 2g, 다시마 2g, 다진 마늘 5g, 다진 파 5g, 저염간장 5g, 통깨 2g, 귤 즙 10g, 참기름 2g"
퓨전떡갈비,굽기,반찬,195.85,24.74,12.58,5.18,265.63,"소고기 40g, 돼지고기 6g, 양파 15g, 배 10g, 마늘 5g, 생강 2g, 저염간장 3g, 찹쌀가루 5g, 참기름 2g, 참깨 5g"
마늘칩 감자샐러드,기타,반찬,80.12,10.18,1.19,3.85,51.78,"감자 50g, 마늘 5g, 양파 5g, 마요네즈 10g, 플레인요거트 5g, 머스터드 1g, 설탕 2g, 파슬리 1g"
시래기닭조림,기타,반찬,210.1,12.5,19.3,9.2,198.3,"닭고기 120g, 무 30g, 당근 20g, 양파 10g, 홍고추 1g, 청고추 1g, 무청시래기 삶은 것 80g,
 다진마늘 2g, 후추 1g, 저염간장 5g, 설탕 3g, 물엿 5g"
두부튀김&무소스,튀기기,반찬,138.1,10.8,9.1,6.5,132.8,"두부 70g, 계란 20g, 깻잎 2.5g, 옥수수전분 10g, 식용유 10g, 혼다랑어가쓰오부시 1g, 무 10g, 레몬쥬스 2g, 2배 양조식초 1.5g, 저염간장 3g, 미향 6g, 설탕 1g"
오징어튀김&딸기쨈,튀기기,반찬,591.6,39.6,17,40.6,135.9,"오징어 35g, 밀가루 70g, 물 50g, 계란 32.5g, 후추 0.1g, 식용유 500g, 딸기쨈 5g"
감귤콩샐러드,기타,반찬,145.7,17.73,3.54,6.74,13.62,"감귤 20g, 완두콩 8g, 수수 4g, 율무 10g, 병아리콩 20g, 유자청 10g, 치커리 6g, 올리브오일 10g"
바질향이 향긋한 고구마 찰 바케트,기타,기타,286,47.11,7.97,7.34,2.07,"강력분 675g, 소금 6g, 생이스트 10g, 물 375ml  파인소프트 T 300g, 파인소프트 C 50g, 강력분 50g, 소금 8g, 분유 8g, 아몬드 분말 74g, 드라이 이스트 10g, 무염버터 54g, 달걀 50g, 물 200ml
 크림치즈 200g, 바질 페스토 30g, 노른자 20g, 고구마 다이스 100g"
두유 크림 현미리소토,기타,일품,847.4,113.1,28.4,31.3,712.2,"손질된 고등어 60g, 양파 10g, 마늘 6g, 양송이버섯 청양고추 2g, 깻잎 1g, 불린 현미 150g, 검은콩 두유 달걀노른자 다시마 2g, 간장 5g, 레몬즙 8g"
당근새우 카나페,기타,후식,349.6,50,19.8,7.8,701.4,칵테일새우 사과 양파 당근 바게트 다진 파슬리 블루베리 애플민트잎 당근 양파 레몬 후춧가루 레몬즙 식초 올리브유
아보카도 수란샐러드,기타,반찬,172.1,17.7,4.2,9.4,88.2,상추 레몬 아보카도 토마토 달걀 파프리카 소금 식초 소금 후춧가루 바질가루 오레가노가루 올리브유 레몬즙
참깨 오렌지 쇠고기,굽기,반찬,183,9.8,21.1,6.2,269,"쇠고기사태 100g, 전분 2g, 간장 2g, 오렌지주스 10g, 굴소스 2g, 꿀 3g, 참깨 1g, 식용유 1g, 생강 1g, 오렌지 20g, 파인애플 28g"
치킨 버거 스테이크,굽기,일품,128,9.5,21.5,0.7,89,"닭가슴살 80g, 빵가루 5g, 차이브 2g, 바질 1g, 파슬리 1g, 소금적당량 후추적당량[양송이 속양파다진것 10g, 버터적당량 양송이 30g, 빵가루 5g, 생크림 적당량"
토마토소스 달걀볶음,볶기,반찬,111,10.2,4.4,5.9,107,"달걀 35g, 파 4g, 토마토소스 10g, 설탕 8g, 소금 적당량 식물성기름 2g, 참기름 1g"
낫토 시래기 라이스전,굽기,후식,138,22.9,6.3,2.9,163,"밥 40g, 양파다진것 10g, 당근다진것 5g, 낫토 15g, 시래기불린것 10g, 카레가루 3g, 파다진것 2g, 밀가루 5g, 달걀 10g, 식용유 적당량 소금 적당량 후춧가루 적당량"
나스와 샐러드,기타,반찬,92,5.1,8.1,41,79,"달걀 20g, 완두콩 5g, 오이 10g, 토마토 20g, 레드어니언 10g, 로메인 10g, 홍고추 2g, 블랙올리브 2g, 바질 1g, 캔참치 20g,<strong,>[드래싱]</strong,> 올리브오일 2g, 레드와인식초 2g, 디존 머스타드 1g, 마늘 1g, 설탕적당량"
다시마전,굽기,반찬,79,13.2,4.3,1.6,311,"다시마 30g, 영양부추 3g, 청고추다진것 3g, 홍고추다진것 3g, 새우살다진것 10g, 밀가루 10g, 물 8g, 소금적당량[멸치액적소스]멸치액젓 2g, 물 3g, 설탕 2g, 깨소금 2g, 고춧가루 1g, 실파 2g"
모듬옥수수,굽기,반찬,127,15,9.9,3.6,109,"옥수수 35g, 잣 3g, 청피망 25g, 당근 25g, 닭고기 35g, 식용유 1g, 물전분 6g, 소금 적당량"
버섯 들깨탕,끓이기,국&찌개,124,17.3,3.9,5.3,32,"느타리버섯 15g, 생표고버섯 15g, 팽이버섯 15g, 새송이벗서 15g, 우엉 15g, 조랭이떡 15g, 들깨 8g, 물 50g, 들기름 2g, 소금적당량"
산마드래싱과 실곤약 샐러드,기타,반찬,97,7.2,7,4.9,36,"그린비타민 8g, 치커리 8g, 배 15g, 포도주스 10g, 훈제오리가슴살 30g, 실곤약 20g, [산마드래싱] 산마 10g, 우유 10g, 레몬주스 3g, 오렌지주스 3g, 호두 3g, 소금 적당량"
산호두부,끓이기,반찬,89.4,8.5,7,3.4,55,"두부 35g, 돼지고기다진것 15g, 당근다진것 10g, 고추기름 2g, 완두콩 10g, 파 5g, 생강 3g, 물전분 10g, 소금 적당량"
섭산삼,튀기기,후식,233,26.9,4.7,8.2,4,"더덕 40g, 젖은 찹쌀가루 30g, 가루녹차 2g, 백년초 가루 2g, 설탕 1g, 꿀 5g, 소금 적당량 튀김기름 8g"
시금치 돼지고기 볶음,볶기,반찬,105,7.4,9.2,4.5,284,"돼지고기살코기 40g, 물전분 10g, 소금 적당량 시금치 25g, 부추 10g, 간장 5g, 파 5g, 생강 3g, 식용유 2g"
발사믹과 로즈마리로 향을 낸 오븐구이 야채,굽기,반찬,136,34.3,1.9,0.6,52,"단호박 40g, 당근 40g, 비트 40g, 고구마 40g, 꿀 8g, 발사믹식초 30g, 로즈마리 2g, 소금적당량 후추 적당량"
종이에 싸서 구운 도미(파필로테),굽기,반찬,104,2.2,13.8,4.5,51,"도미살 65g, 소금 적당량 후추 적당량 샐러리 채친것 3g, 당근 채친것 3g, 대파채친것 3g, 양파채친것 6g, 피망채친것 5g, 브러컬리 5g, 레몬제스트 1g, 팽이버섯 3g, 버터 2g, 유산지 [허브버터] 버터 2g, 파마산치즈 1g, 통후추 5g, 오레가노 0.2g, 마늘 0.3g, 양파 0.5g"
무염 겉절이,기타,반찬,11.96,2.53,0.45,0.01,1.67,"알배추 50g, 적양파 15g, 대파 5g, 풋고추 3g, 마늘 5g, 무청 3g, 고춧가루 5g, 매실액 2g, 식초 5g, 사과 10g"
닭가슴살호두크로켓,튀기기,반찬,623.5,50.8,43.8,27.2,312.9,"닭가슴살 80g, 두부 20g, 양파 12.5g, 대파 5g, 호두 5g, 땅콩 2.5g, 마늘 2g, 생강 0.5g, 후추 0.3g, 설탕 3.8g, 식초 2.5g, 계란 65g, 쌀가루 7g, 빵가루 25g, 순무 24g, 두유 45ml 홀그레인 2.5g, 땅콩버터 5g, 레몬 7g, 파슬리 0.5g"
누룽지상추샐러드&유자드레싱,기타,반찬,105.56,19.51,0.67,2.75,8.32,"누룽지 5g, 로메인상추 7.5g, 파프리카 12.5g, 유자청 7.5g, 식용유 500g, 올리브유 3.5g, 레몬즙 1g, 식초 1g, 후추 0.1g"
견과류 미숫가루 빵,기타,기타,353,44.89,12.56,13.64,5.64,"강력분60g, 박력분 30g, 미숫가루 150g, 이스트 4g, 소금 5g, 달걀 50g,  버터 30g, 아몬드20g, 해바라기씨 30g, 호박씨 10g, 건포도 20g, 
 아몬드 30g, 우유 180g, 
 버터10g, 아몬드 슬라이스10g, 미숫가루10g"
돼지 함초 덮밥,기타,일품,816.8,83.6,43.3,34.4,498.9,"양파 10g, 쪽파 3g, 레몬 3g, 무순 멸치 건함초 3g, 다시마 5g, 밥 210g, 꽈리고추 돼지고기 등심 120g, 수란 김가루 2g, 고추냉이 2g, 마늘 생강 건고추 팔각 참기름 후춧가루 식용유"
닭가슴살 채소쌈,볶기,일품,266.3,22.1,23.7,9.2,349.1,"양상추 양파 토마토 청양고추 할라피뇨 피클 닭가슴살 270g, 단호박 라이스페이퍼 플레인 요거트 마늘 대파 후춧가루 카레가루"
호두 사과 샐러드,굽기,후식,110,13.7,1.2,6.5,31,"사과 60g, 샐러리 5g, 마요네즈 4g, 레몬주스 1g, 식초 1g, 호두 5g, 건포도 4g, 소금적당량"
고구마란,기타,후식,166,36.6,2.9,2.7,13,"고구마 70g, 꿀 10g, 계피가루 2g, 대추 5g, 호박씨 5g"
과일 파이,굽기,후식,182,38.7,2.8,2.4,29,"오렌지 25g, 사과 25g, 설탕 15g, 물전분 4g, 버터 1g, 식빵 30g"
수삼당근정과,기타,후식,110,28.3,2.1,0.2,23,"당근 50g, 수삼 30g, 꿀 20g, 물 10g, 계피가루 2g"
식혜 팥빙수,기타,후식,136,33,3.6,0,5,"팥 10g, 찹쌀가루 15g, 쑥가루 5g, 물 10g, 식혜 110g, 소금 적당량"
야채칩,튀기기,후식,72,17.7,1.8,0,17,"연근 20g, 고구마 20g, 감자 20g, 단호박 20g, 당근 20g, 소금적당량"
잡곡강정,기타,후식,153,29.2,5.5,2.4,10,"검은콩튀밥 10g, 쌀튀밥 10g, 메닐튀밥 10g, 물엿 6g, 설탕 6g, 물 3g"
잣 호두 강정,기타,후식,94,7.9,2.1,6.8,1,"잣 3g, 호두 3g, 대추 3g, 통깨 5g, [시럽] 물엿 3g, 설탕 2g"
현미 크레이프,기타,후식,259,56.2,7,0.7,42,"현미가루 10g, 밀가루 20g, 우유 30g, 참기름적당량 소금적당량 [팥소]팥 15g, 설탕 10g, [당근조림] 당근 20g, 설탕 10g, 물 5g"
감자 주먹밥,끓이기,밥,240,41.9,8.9,5.6,67,"감자 80g, 밥 80g, 당근다진것 20g, 시금치 20g, 잔멸치 5g, 삶은 달걀 노른자 5g, 검은깨 1g, 흰깨 2g,[밥양념] 참기름 2g, 소금적당량 흰 후춧가루 적당량"
고기완두조림,끓이기,반찬,183,18.9,11.4,7,45,"돼지고기살코기 40g, 완두콩 30g, 물 5g, 육수 10g, 설탕 7g, 소금적당량 전분 5g, 식용유 3g"
니고랭,볶기,일품,229,35.9,11.5,3.8,310,"달걀물 10g, 식용유 1g, 홍고추 3g, 마늘다진것 1g, 닭가슴살 12g, 새우 12g, 양파 12g, 청경채 20g, 스파게티면 40g, 방울토마토 15g, 버터 적당량[소야소스] 간장 3g, 발사믹식초 1g, 굴소스 2g, 꿀 3g"
돼지갈비 볶음,볶기,반찬,151,6.7,12.1,8.3,293,"돼지갈비 60g, 굵은소금적당량 마늘다진것 3g, 생강다진것 2g, 대파 10g, 토마토 25g,[양념장] 간장 5g, 물 10g, 식초 2g, 설탕 3g, 통깨 적당량 참기름 적당량"
미니 그라탕,굽기,일품,236,44.6,6.3,5.6,58,"사과 50g, 참마 25g, 레몬주스 10g, 건포도 5g, 슬라이스아몬드 5g, 설탕 6g,[소스] 참마 25g, 두유 40g, 물엿 5g, 밀가루 3g, 올리브오일 1g, 소금 적당량"
밀라노 스타일 포크 커틀렛,튀기기,반찬,229,7.6,13.8,15.1,98,"돼지등심 60g, 밀가루 4g, 달걀 12g, 빵가루 4.5g, 바질 0.5g, 건타임 0.5g, 버터 0.5g, 식용유 1g, 레몬 5g, 파마산치즈 2g, 소금 적당량 후추 적당량"
바지락 볶음면,볶기,일품,235,36.3,12.6,4,448,"바지락살 20g, 칵테일새우 20g, 청고추 5g, 홍고추 5g, 대파 10g, 마늘다진것 3g, 생강다진것 2g, 칼국수면 80g, 식용유 적당량 물전분 4g,[간장소스]멸치육수 50g, 간장 5g, 설탕 5g, 양파즙 5g, 다진 파 5g, 다진 마늘 3g, 참기름 2g, 깨소금 1g, 소금 적당량 후춧가루 적당량"
삼색 꽃 화전,기타,반찬,160.6,22.36,2.11,6.97,1.31,"찹쌀가루 60g, 시금치 30g, 치자 5g, 식용꽃 5g, 타임 5g, 설탕 15g, 꿀 20g"
알록달록연근튀김,튀기기,반찬,66.9,10.2,1.1,2.4,103.4,"깐연근 22.18g, 비트 2.12g, 시금치 2.12g, 카레가루 1.52g, 건새우 0.3g, 전분 2.25g, 튀김가루 4.25g, 소금 0.05g, 식물성기름 500ml"
잎채소튀김,튀기기,반찬,222.6,10.2,2.3,19.2,70.5,"깻잎 5g, 상추 6g, 배추 7g, 계란 10g, 튀김가루 10g, 콩기름 5g, 얼음"
포항초사과샐러드,기타,반찬,10.34,1.52,0.77,0.13,15.81,"포항초 20g, 사과 5g, 당근 2g, 양파 2g, 파프리카 1g, 레몬즙 0.2g, 저염간장 0.4g, 설탕 0.2g"
생선 파피요트,기타,일품,162,9.5,22.1,4,881.6,"양파 파프리카 레몬 방울토마토 손질된 흰살생선 대하 바지락 월계수잎 타임 소금 2g, 후춧가루 1g, 화이트와인 15g, 올리브유 10g"
시금치 후무스,끓이기,기타,195.8,27.3,9.4,5.4,34.5,"대파 시금치 1줌=60g, 불린 병아리콩 우유 올리브유 천일염 라임즙 백후춧가루 넛맥가루"
매생이조랭이떡국,끓이기,국&찌개,380.8,77.3,11.2,2.1,637.3,"조랭이떡 140g, 매생이 15g, 굴 30g, 파 5g, 다진 마늘 2g, 국멸치 3g, 국간장 1g, 소금 0.2g, 물 300g"
문어핫바,굽기,후식,191.5,22.3,11,6.7,324.6,"문어 50g, 톳 5g, 감자 20g, 당근 5g, 양파 5g, 우리밀가루 20g, 다진 마늘 2g, 후춧가루 0.1g, 토마토케첩 5g, 허니머스터드소스 5g, 현미유 5g"
매실장아찌와 과매기구이,굽기,반찬,230.2,16.7,13.5,12.1,412.7,"과메기 60g, 매실장아찌 15g, 양파 5g, 다진 생강 1g, 마늘 1g, 고추장 10g, 양파 5g, 다진 마늘 3g, 다진 파 3g, 간장 2g, 매실액 2g, 고춧가루 1g, 물 15g, 통깨 0.1g, 후춧가루 0.1g"
자색고구마호떡,굽기,후식,229.2,38.4,3.7,6.5,71.9,"찹쌀 30g, 자색고구마 20g, 소금 0.2g, 현미유 3g, 물 17g, 황설탕 7g, 검정깨 2g, 땅콩 2g, 호두 2g, 찹쌀가루 0.5g, 계피가루 0.2g"
김치밥그라탕,굽기,밥,515.1,69.3,14.5,18.9,679.8,밥 180 배추김치 30 양파 20 생 표고버섯 40 방울토마토 200 올리브유 12 간장 4 피자치즈 30 다진 실파 5
누룽지굴죽,끓이기,밥,239.3,47.9,8.4,2.9,337.6,굴 50 누룽지 50 다시마국물 부추 10 간장 3 참기름 2 파래김 0.5
콩비지완자탕,끓이기,국&찌개,154.6,16.5,9.7,5,699,콩비지 50 다진 돼지고기 25 깍두기 5 새우젓 2.5 계란 5 감자전분 10 후추 0.02 다진 파 4 다진 마늘 2 멸치다시마국물 청경채 20 어슷 썬 대파 5 다진 마늘 1 국간장 5
돼지갈비구이와 백김치와인조림,굽기,반찬,252,13.1,13.8,13.7,446.7,돼지등갈비 200 물 500 된장 2 대파 10 생강 3 올리브유 4 후추 0.02 소금 0.38 백김치 60 적포도주 40 맛술 15 꿀 3
오징어오곡밥순대,찌기,반찬,105,12.5,7.8,2.6,617.2,오징어 30 오곡밥 30 데친 취나물 10 간장 3 다진 마늘 2.5 후추 0.01 참기름 1 데쳐서 다진 취나물 5 청양고추 2 간장 1.5 참기름 1 설탕 1 다진 마늘 1 된장 0.75
코다리 양념구이,굽기,반찬,133,10,12.1,5.1,258.1,코다리 50 누룽지가루 7.5 콩기름 4 다진 홍고추 2 다진 실파 2 간장 3 설탕 1.5 맛술 1.25 고운 고추가루 1 간 양파 5 다진 마늘 1
대구버섯구이,굽기,반찬,197.9,14.9,13.3,9.5,237.6,대구살 60 소금 0.3 흰후추 0.02 찹쌀가루 12 새송이버섯 40 마늘 2 올리브유 6 베이비채소 5 마요네즈 4 와사비 갠 것1 레몬즙 2 후추 0.02
잔멸치땅콩볶음,볶기,반찬,145.6,7.8,7.4,9.8,352.7,땅콩 10 잔멸치 10 맛술 2.5 올리브유 2 건홍고추 1 참기름 1 콩기름 1 다진 마늘 1 굴소스 0.3 두반장 1 물엿 6 통깨 0.5
밥 샌드위치,기타,일품,322,50.6,14.9,8.1,476,"맛살 50g, 마요네즈 3g, 오이 25g, 밥 120g, 치즈슬라이스 20g, 검은깨 2g, 소금 적당량"
버섯을 넣은 가지 라자냐,굽기,일품,136,14.8,8.1,5.1,243,"돼지고기다진것 12g, 느타리벗서 15g, 표고버섯 10g, 새송이버섯 15g, 가지 15g, 밀가루 6g, 버터 0.5g, 우유 25g, 파마산치즈 3g, 모짜렐라 치즈 7g, 토마토소스 20g, 바질 2g, 오레가노 0.5g, 빵가루 4g"
생선찜 채소말이,찌기,반찬,163,1838,15.5,3.4,346,"흰살 생선 70g, 죽순 20g, 청피망 15g, 홍피망 15g, 건표고버섯 10g, 전분 5g, 치즈슬라이스 10g, 참기름 적당량 소금 적당량 흰후춧가루 적당량[소스] 잣 3g, 물 4g, 설탕 3g, 레몬즙 3g, 간장 2g, 소금적당량"
쇠고기말이 쌈밥,굽기,밥,204,27.5,11.3,6,354,"쇠고기살코기 40g, 당근 10g, 오이피클 10g, 양파 15g, 깻잎 10g, 밥 50g, 전분 6g, 식용유 적당량[밥밑간]깨소금 2g, 참기름 2g, 소금 적당량[쇠고기밑간] 간장 2g, 청주 2g, 참기름 1g, 후춧가루 적당량"
스테이크 샐러드,굽기,반찬,177,3.5,17,10.1,404,"쇠고기등심 80g, 로메인 30g, 워터크레스 2g, 래디쉬 5g, 방울토마토 10g, 레드어니언 8g, 발사믹식초 4g, 올리브오일 1g, 소금적당량 통후추 적당량"
씨앗죽,끓이기,밥,198,27.3,5.4,7.9,20,"쌀 30g, 참깨 3g, 통아몬드 4g, 땅콩 4g, 호박씨 4g, 물 90g, 소금 적당량"
오븐에 구운 또띠아 칩과 아보카도 딥,굽기,후식,139,24.1,2.6,3.9,40,"또띠아 25g, 양파다진것 5g, 할라피뇨다진것 2g, 마늘다진것 3g, 아보카도 12g, 라임주스 3g, 토마토 30g, 소금 적당량"
참치 쇠고기 양상추 쌈,굽기,반찬,181,24.9,9.2,5.2,313,"쇠고기 25g, 밥 60g, 상추 5g, 캔참치 5g,[밑간] 후추5g, 달걀흰자 10g, 간장 3g, 설탕 2g, 전분 2g,[참치양념] 마요네즈 3g, 양파다진것 3g, 샐러리다진것 2g, 소금적당량 설탕 적당량 후춧가루 적당량"
치킨 쇠고기 땅콩소스 꼬치,굽기,반찬,148,8.3,14.4,6.2,536,"닭가슴살 30g, 쇠고기 등심 30g, 간장 3g, 카레가루 2g, 땅콩버터 3g, 참기름 0.5g, 올리브오일 2g, 설탕 1.5g, 생강다진것 1g"
커리향이 들어간 치킨샐러드 샌드위치,굽기,일품,194,23.3,8.8,7.4,77,"닭가슴살 20g, 올리브오일 0.5g, 마요네즈 2g, 식빵 40g, 아몬드 3g, 건포도 2g, 카레가루 0.5g, 레몬주스 2g, 바질5g, 소금적당량 후추적당량"
클럽 샌드위치,기타,일품,1,1,1,1,1,"식빵 40g, 마요네즈 2g, 삶은달걀 15g, 양상추 8g, 닭가슴살 13g, 토마토 20g, 치즈슬라이스 4g, 슬라이스햄 4g, 베이컨 4g, 소금적당량 후추적당량"
토마토 야채 오븐구이,굽기,반찬,103,17.4,3.1,2.8,67,"감자 20g, 고구마 20g, 오릴브오일 2g, 홍피망 15g, 당근 12g, 후추적당량 소금적당량 레드어니언 12g, 토마토 25g, 돼지호박 12g, 파마산치즈 2g, 빵가루 5g, 바질5g"
시금치비트무침,기타,반찬,38,5.6,2,1.3,152.6,시금치 30 적양파 10 비트 10 발사믹식초 5 올리고당 3 올리브유 1 소금 0.38
해초탕수,튀기기,반찬,128.7,19.5,2.1,4.9,132.8,불린 미역 7 파래 10 김 1.3 양파 7 유자청 15 물 20 다진 파 4 다진 마늘 1 감자전분 10 계란 7 콩기름 4
호두떡볶이,끓이기,반찬,383.1,57.1,5.8,15,219.7,호두 15 올리브유 4 떡볶이 떡 80 올리고당 20 간장 1.5 검정깨 0.5
준순콩나물밥,끓이기,밥,368,75.1,10.1,2.3,226.4,쌀 90 콩나물 30 삶은 죽순 40 녹차 우린 물 90 간장 4 고춧가루 0.5 설탕 1 깨소금 0.5 다진파 2.5 다진마늘 1.25 청양고추 2.5 홍고추 1.25 맛술 3.75 참기름 1
멍게비빔밥,기타,밥,399.5,73.3,9.7,6.2,532.8,쌀밥 210 멍게살 50 부추 10 무순 5 김 0.5 참기름 4 통깨 1.5 고추장 5 설탕 1 레몬즙 3 간 양파 3 매실액 3
키조개샤브샤브,끓이기,국&찌개,85.4,10.6,9.3,1,424.8,키조개관자 60 당근 10 참나물 10 애호박 10 표고버섯 20 느타리버섯 30 팽이버섯 30 다시마 국물 200 간장 4.5 사과식초 2.5 올리고당 3.5
가자미쑥국,끓이기,국&찌개,123.4,3.7,15.2,4.9,567.7,가자미 50 모시조개 15 쑥 20 물 200 된장 9 대파 4 들깨가루 6
달래바싹불고기,굽기,반찬,197,5.3,13.4,13.4,237.6,쇠고기등심 60 달래 5 올리브유 5 간장 4 설탕 3 다진 양파 15 다진 마늘 2 후추 0.01
오리고기곰피쌈,굽기,반찬,137.3,7.8,10.3,7.1,355.9,"오리고기 50g, 곰피 20g, 무순 10g, 올리브유 4 오미자 액기스 1g, 고추장 6g, 설탕 2g, 식초 2.5g, 물 2.5g"
바지락수제비볶음,볶기,반찬,271.6,43.5,10.6,7.1,295.2,밀가루 50 물 25 바지락 100 양파 20 마늘 5 청양고추 5 실파 5 콩기름 4 맛술 5 참기름 2 물 25 굴소스 1.5 간장 1 매실액 1.5 피쉬소스 1
민들레무침,기타,반찬,24.9,4,1,0.9,127.9,민들레 15 양파 10 고춧가루 1.25 깨소금 1 소금 0.25 다진 파 1.25 다진 마늘 0.5 매실액 4.5
취나물들깨무침,기타,반찬,83.4,5.5,3.5,5.7,256.1,"참취 70g, 간장 1.5g, 소금 0.5g, 다진 파 2.25g, 다진 마늘 1g, 들기름 3g, 거피들깨가루 6g"
토마토소박이,기타,반찬,30,5.2,1.4,0.7,316.6,토마토 70 영양부추 5 적양파 8 까나리액젓 2.5 고춧가루 0.6 소금 0.5 통깨 1 설탕 2
